No,Nama Lengkap,Prodi,Jenis Kelamin,Jarak Tempat Tinggal kekampus (Km),Asal Sekolah,Tahun Lulus,SKS,Ikut Organisasi,Ikut UKM,IPK,Pekerjaan Orang Tua,Penghasilan,Tanggungan,Status Beasiswa,,,,,,,,,,,
1,GALAN PRASETIO,Bimbingan dan Konseling | Reguler,L,Dekat,SMAN 1 GEDONG TATAAN,2020,21,Ikut,Ikut,3.57,Wiraswasta,Sedang,4,Terima,,,,,,,,,,,
2,FINGKY RANDIANSYAH,Bimbingan dan Konseling | Reguler,L,Dekat,SMK HAMPAR BAIDURI,2020,21,Tidak,Ikut,2.95,Buruh,Sedang,2,Tidak,,,,,,,,,,,
3,ADELIA PANE,Bimbingan dan Konseling | Reguler,P,Dekat,SMK HAMPAR BAIDURI,2020,21,Tidak,Ikut,3.67,Petani,Sedang,4,Terima,,,,,,,,,,,
4,DWI HANDOKO,Bimbingan dan Konseling | Reguler,L,Dekat,SMA MA'ARIF NU BUMIRESTU,2020,21,Tidak,Ikut,3.19,Wiraswasta,Tinggi,2,Tidak,,,,,,,,,,,
5,DESTRI FERAWANTI GUSTINI,Bimbingan dan Konseling | Reguler,P,Jauh,SMA 2 NEGERI AGUNG,2020,21,Tidak,Ikut,3.19,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
6,ANIS SETIYAWATI,Bimbingan dan Konseling | Reguler,P,Dekat,MA MATHLA'UL ANWAR,2020,21,Tidak,Ikut,3.78,Wiraswasta,Rendah,3,Terima,,,,,,,,,,,
7,DENDY FERNANDO,Bimbingan dan Konseling | Reguler,L,Dekat,MA MA'ARIF 4 KALIREJO,2020,21,Tidak,Ikut,3.33,Petani,Sedang,3,Tidak,,,,,,,,,,,
8,ALFIN M. YUNUS. S,Bimbingan dan Konseling | Reguler,L,Dekat,SMAN 1 KOTAAGUNG,2020,21,Tidak,Ikut,3.29,Petani,Rendah,1,Tidak,,,,,,,,,,,
9,INTAN KHAIRUNNISA,Bimbingan dan Konseling | Reguler,P,Dekat,SMK HAMPAR BAIDURI,2020,21,Tidak,Ikut,3.48,Wiraswasta,Sedang,3,Tidak,,,,,,,,,,,
10,INDAH SEPTIANI,Bimbingan dan Konseling | Reguler,P,Dekat,SMK HAMPAR BAIDURI KALIANDA,2020,21,Tidak,Ikut,3.38,Pedagang,Sedang,1,Tidak,,,,,,,,,,,
11,DIAN PRAMUTIA,Bimbingan dan Konseling | Reguler,P,Dekat,MA ANWANUL FALAH,2020,21,Tidak,Ikut,3.52,Petani,Rendah,2,Tidak,,,,,,,,,,,
12,ANGGIE LUTHFIA FEBRIANTI,Bimbingan dan Konseling | Reguler,P,Jauh,SMKN 1 NGAMBUR,2020,21,Tidak,Ikut,2.81,Pedagang,Rendah,2,Tidak,,,,,,,,,,,
13,IDA HALIPATUL AINI,Bimbingan dan Konseling | Reguler,P,Dekat,MA ROUDLOTUL HUDA PURWOSARI PADANG RATU,2020,21,Tidak,Ikut,3.70,Karyawan Swasta,Sedang,1,Tidak,,,,,,,,,,,
14,AGAM FAZRI ALFAZNI,Bimbingan dan Konseling | Reguler,L,Dekat,SMK YPIB KOTABUMI LAMPUNG UTARA,2020,21,Tidak,Ikut,3.71,Petani,Rendah,2,Tidak,,,,,,,,,,,
15,IQRO MUROFIQ,Bimbingan dan Konseling | Reguler,L,Dekat,SMKN SUKOHARJO,2020,21,Tidak,Ikut,3.38,Wiraswasta,Tinggi,1,Tidak,,,,,,,,,,,
16,DEVI ANGGRAINI,Bimbingan dan Konseling | Reguler,P,Dekat,SMA N 1 SEMAKA,2020,21,Tidak,Ikut,3.57,Petani,Rendah,2,Tidak,,,,,,,,,,,
17,ASTRIT NUR WAHIDAH,Bimbingan dan Konseling | Reguler,P,Dekat,SMK YP SERDANG,2020,21,Tidak,Ikut,3.29,Pedagang,Rendah,2,Tidak,,,,,,,,,,,
18,EVITA ANANDA PUTRI,Bimbingan dan Konseling | Reguler,P,Jauh,SMAN 1 BUAY PEMACA OKU SELATAN,2020,21,Tidak,Ikut,3,Wiraswasta,Rendah,1,Tidak,,,,,,,,,,,
19,ANGGUN DEVITASARI,Bimbingan dan Konseling | Reguler,P,Jauh,SMK HAMPAR BAIDURI,2020,21,Tidak,Ikut,3.48,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
20,PURNAMA GUSTI APRIYANDO,Bimbingan dan Konseling | Reguler,L,Dekat,SMA N 1 SENDANG AGUNG,2020,21,Tidak,Ikut,3.57,Petani,Tinggi,1,Tidak,,,,,,,,,,,
21,DESWITA PUTRI MAHARANI,Bimbingan dan Konseling | Reguler,P,Dekat,SMA N 1 BANGUN REJO,2020,21,Tidak,Ikut,2.9,Petani,Rendah,2,Tidak,,,,,,,,,,,
22,TIKA SAFITRI,Bimbingan dan Konseling | Reguler,P,Dekat,SMA N 1 TALANG PADANG,2020,21,Ikut,Ikut,3.71,PNS,Tinggi,2,Tidak,,,,,,,,,,,
23,AFREZA WULANDARI,Bimbingan dan Konseling | Reguler,P,Dekat,SMAN 1 PULAU PANGGUNG,2020,21,Ikut,Ikut,3.57,Petani,Sedang,2,Tidak,,,,,,,,,,,
24,WINDI ANIKA PUTRI,Bimbingan dan Konseling | Reguler,P,Dekat,MAN 2 BANDAR LAMPUNG,2020,21,Ikut,Ikut,3.52,Wiraswasta,Tinggi,3,Tidak,,,,,,,,,,,
25,MEGA NAWANG ULAN,Bimbingan dan Konseling | Reguler,P,Dekat,SMA MUHAMMADIYAH GISTING,2020,21,Tidak,Ikut,3.33,Buruh,Rendah,2,Tidak,,,,,,,,,,,
